DATE,US
1960-01-01,1.5148692200020533
1960-02-01,1.4840725876236116
1960-03-01,1.45327595524517
1960-04-01,1.3943435570374942
1960-05-01,1.3354111588298183
1960-06-01,1.2485330436011872
1960-07-01,1.2469904050722471
1960-08-01,1.2172946133901539
1960-09-01,1.2445829939208546
1960-10-01,1.1871327207467075
1960-11-01,1.1296824475725606
1960-12-01,1.0722321743984136
1961-01-01,0.9859535325616707
1961-02-01,0.9564674652040783
1961-03-01,0.9269813978464857
1961-04-01,0.9540924584008407
1961-05-01,0.981203518955196
1961-06-01,1.0367540359151086
1961-07-01,1.0074747566358295
1961-08-01,1.034498017354743
1961-09-01,1.0329965158532413
1961-10-01,1.0881792153312424
1961-11-01,1.1433619148092433
1961-12-01,1.1985446142872447
1962-01-01,1.2537273137652458
1962-02-01,1.2528911747208973
1962-03-01,1.2797405284783208
1962-04-01,1.250665162165744
1962-05-01,1.2215897958531672
1962-06-01,1.2201082485251382
1962-07-01,1.2467859162919146
1962-08-01,1.2453141972136523
1962-09-01,1.2164399282078047
1962-10-01,1.2149779399037113
1962-11-01,1.2135159515996181
1962-12-01,1.2394662439972788
1963-01-01,1.2654165363949397
1963-02-01,1.3194214614983957
1963-03-01,1.3179691077776474
1963-04-01,1.344477268310344
1963-05-01,1.3709854288430405
1963-06-01,1.3695426147784888
1963-07-01,1.3681092466859797
1963-08-01,1.3395314703415704
1963-09-01,1.3658722612439078
1963-10-01,1.3373919696057215
1963-11-01,1.3359679550238124
1963-12-01,1.2798127003823547
1964-01-01,1.223657445740897
1964-02-01,1.1675021910994394
1964-03-01,1.1660874387695186
1964-04-01,1.1916414027287028
1964-05-01,1.217195366687887
1964-06-01,1.2695532273948937
1964-07-01,1.294952014537346
1964-08-01,1.3748091123622908
1964-09-01,1.4002078995047433
1964-10-01,1.4798107725159761
1964-11-01,1.505132672837876
1964-12-01,1.584482934226972
1965-01-01,1.6638331956160684
1965-02-01,1.7966022604239684
1965-03-01,1.9017199405284657
1965-04-01,2.0057298622676556
1965-05-01,2.109739784006846
1965-06-01,2.1594199255612225
1965-07-01,2.262785277563068
1965-08-01,2.3915793431680776
1965-09-01,2.547687311203678
1965-10-01,2.702373020272826
1965-11-01,2.8842834249750293
1965-12-01,3.0122869727898984
1966-01-01,3.140290520604768
1966-02-01,3.1609903069295537
1966-03-01,3.1816426214817217
1966-04-01,3.1491874671102185
1966-05-01,3.1425321063403655
1966-06-01,3.1630431236868257
1966-07-01,3.156470582304158
1966-08-01,3.0702597924875152
1966-09-01,3.0095332024669985
1966-10-01,2.8967100344052237
1966-11-01,2.809216146991878
1966-12-01,2.774248995404895
1967-01-01,2.789940405114771
1967-02-01,2.884846053544356
1967-03-01,2.9794840220141
1967-04-01,3.100376710461715
1967-05-01,3.1944837889303876
1967-06-01,3.313352657799255
1967-07-01,3.4568349240360106
1967-08-01,3.6260956540252067
1967-09-01,3.768761665383878
1967-10-01,3.96177529358912
1967-11-01,4.128289085307494
1967-12-01,4.268309946473147
1968-01-01,4.330927493648004
1968-02-01,4.391510392976702
1968-03-01,4.500545348950431
1968-04-01,4.633525629519064
1968-05-01,4.766157606703164
1968-06-01,4.87209928325003
1968-07-01,4.951524959118925
1968-08-01,5.054581106951193
1968-09-01,5.1573911055945265
1968-10-01,5.233886763835464
1968-11-01,5.3337597287671
1968-12-01,5.456877985999779
1969-01-01,5.605290344452008
1969-02-01,5.72753107974773
1969-03-01,5.774977838427461
1969-04-01,5.819757025648509
1969-05-01,5.864482831243879
1969-06-01,5.9091015511590514
1969-07-01,5.9536127840812725
1969-08-01,5.927872758341246
1969-09-01,5.924737063381652
1969-10-01,5.921762432552325
1969-11-01,5.894078816733116
1969-12-01,5.841837873282848
1970-01-01,5.767773707458382
1970-02-01,5.6723360910710445
1970-03-01,5.58024170520282
1970-04-01,5.421511546472661
1970-05-01,5.284860632619673
1970-06-01,5.170547823951616
1970-07-01,5.035607281402378
1970-08-01,4.96977221556731
1970-09-01,4.83821015678153
1970-10-01,4.6863001392259696
1970-11-01,4.493202496128325
1970-12-01,4.301205819553586
1971-01-01,4.132483016827432
1971-02-01,4.0082140109794775
1971-03-01,3.90721052057808
1971-04-01,3.851829492628472
1971-05-01,3.7536346071195292
1971-06-01,3.5928166361344758
1971-07-01,3.475269018586859
1971-08-01,3.3357516731871626
1971-09-01,3.2611384945823882
1971-10-01,3.22912818509079
1971-11-01,3.2611826334044083
1971-12-01,3.2728488313853923
1972-01-01,3.3047907795691347
1972-02-01,3.335234119557524
1972-03-01,3.4260151179472196
1972-04-01,3.5567625465644324
1972-05-01,3.7486825217505384
1972-06-01,4.0225028743354665
1972-07-01,4.254129597608968
1972-08-01,4.624110923472648
1972-09-01,4.972206416618442
1972-10-01,5.337076046171004
1972-11-01,5.719345656049369
1972-12-01,6.160975349289196
1973-01-01,6.639311709706363
1973-02-01,7.1517465441750945
1973-03-01,7.635349687432817
1973-04-01,8.054641533717039
1973-05-01,8.486083549370326
1973-06-01,8.89146060519173
1973-07-01,9.373501582041905
1973-08-01,9.663817634553082
1973-09-01,10.045774486829236
1973-10-01,10.400773242583869
1973-11-01,10.729583138310154
1973-12-01,11.032231470370247
1974-01-01,11.233306782519726
1974-02-01,11.333765410520725
1974-03-01,11.321968437632025
1974-04-01,11.331684288804292
1974-05-01,11.228256808341468
1974-06-01,11.105592357945925
1974-07-01,10.955941011312285
1974-08-01,10.767212260388412
1974-09-01,10.430398567476216
1974-10-01,10.04498154318032
1974-11-01,9.643165297084616
1974-12-01,9.193061451027015
1975-01-01,8.769334382744665
1975-02-01,8.357409443277353
1975-03-01,8.009164463006938
1975-04-01,7.6625657967603535
1975-05-01,7.390731375315794
1975-06-01,7.10593088795667
1975-07-01,6.742093747560972
1975-08-01,6.5011790759833135
1975-09-01,6.300293005532024
1975-10-01,6.135966476956672
1975-11-01,5.927951354968339
1975-12-01,5.755322078292818
1976-01-01,5.630153499144619
1976-02-01,5.599175516553731
1976-03-01,5.629839291094648
1976-04-01,5.705066151042957
1976-05-01,5.7486208342110565
1976-06-01,5.823291494991662
1976-07-01,5.946588918859072
1976-08-01,6.022521012039518
1976-09-01,6.114414072682579
1976-10-01,6.191568012488353
1976-11-01,6.345041230671307
1976-12-01,6.498055069252158
1977-01-01,6.63320336087527
1977-02-01,6.676186822476713
1977-03-01,6.685732680175788
1977-04-01,6.648076708696288
1977-05-01,6.66803590974121
1977-06-01,6.713645232895954
1977-07-01,6.786544852966198
1977-08-01,6.888455535938575
1977-09-01,7.030869427843508
1977-10-01,7.242389700892279
1977-11-01,7.42248644573472
1977-12-01,7.615543315543422
1978-01-01,7.8190760790761855
1978-02-01,8.104670721195161
1978-03-01,8.39967200246477
1978-04-01,8.731766420826794
1978-05-01,9.055728008238574
1978-06-01,9.345399799171215
1978-07-01,9.641933139158407
1978-08-01,9.973186852765059
1978-09-01,10.296042036326565
1978-10-01,10.557955669141835
1978-11-01,10.868453760412494
1978-12-01,11.224806302452107
1979-01-01,11.610574970094858
1979-02-01,11.97102736085286
1979-03-01,12.359511508138624
1979-04-01,12.71332360535734
1979-05-01,13.009397040965657
1979-06-01,13.300641910813233
1979-07-01,13.45642331296384
1979-08-01,13.5442938886393
1979-09-01,13.5793009774068
1979-10-01,13.63716951277795
1979-11-01,13.640248294401433
1979-12-01,13.575444410405199
1980-01-01,13.40177514293383
1980-02-01,13.1704834494421
1980-03-01,12.814687148972418
1980-04-01,12.420447300058342
1980-05-01,12.034977024612518
1980-06-01,11.632317921932847
1980-07-01,11.434742477143422
1980-08-01,11.262383560677103
1980-09-01,11.125037290623062
1980-10-01,10.906333289552547
1980-11-01,10.65153511713424
1980-12-01,10.352040665883004
1981-01-01,10.065841648853382
1981-02-01,9.750462812146731
1981-03-01,9.44152694807851
1981-04-01,9.150655268317939
1981-05-01,8.892452216348788
1981-06-01,8.685070374838963
1981-07-01,8.325008577669553
1981-08-01,7.912189061997627
1981-09-01,7.4197338538771795
1981-10-01,7.002873592338921
1981-11-01,6.586079502287514
1981-12-01,6.161698117870627
1982-01-01,5.771760972622115
1982-02-01,5.427267141542047
1982-03-01,5.162119023286585
1982-04-01,4.944560776809009
1982-05-01,4.68352294899091
1982-06-01,4.309631442956304
1982-07-01,3.9780056451733015
1982-08-01,3.7037028195852835
1982-09-01,3.5217980555929462
1982-10-01,3.331142850044394
1982-11-01,3.220825510728732
1982-12-01,3.2175918751049655
1983-01-01,3.25764772378295
1983-02-01,3.3499939717341096
1983-03-01,3.450238435274454
1983-04-01,3.505659571789812
1983-05-01,3.5627271072018494
1983-06-01,3.6997092688692916
1983-07-01,3.844931414091437
1983-08-01,3.9893117084328114
1983-09-01,4.10681570412656
1983-10-01,4.2239908635977
1983-11-01,4.2894973033277415
1983-12-01,4.302637613179452
1984-01-01,4.247691473942205
1984-02-01,4.157616301572441
1984-03-01,4.0661901801837725
1984-04-01,3.993010803078238
1984-05-01,3.9545015686613154
1984-06-01,3.9161468248361158
1984-07-01,3.8619860358050118
1984-08-01,3.7834747967201845
1984-09-01,3.6895371223455666
1984-10-01,3.603824135092427
1984-11-01,3.559023033528042
1984-12-01,3.546523295241313
1985-01-01,3.575971674921544
1985-02-01,3.542436887185694
1985-03-01,3.421764836689082
1985-04-01,3.2471422769817004
1985-05-01,3.057091123981172
1985-06-01,2.890837011878654
1985-07-01,2.7260636534041818
1985-08-01,2.578129634856126
1985-09-01,2.4624237033607215
1985-10-01,2.3160129722622664
1985-11-01,2.130232429702926
1985-12-01,1.9051678659172067
1986-01-01,1.7029677067861992
1986-02-01,1.618892085479659
1986-03-01,1.6836795136088052
1986-04-01,1.8657670971119718
1986-05-01,2.062900679825492
1986-06-01,2.220164744827501
1986-07-01,2.4159935952551774
1986-08-01,2.64185509181707
1986-09-01,2.858632667941287
1986-10-01,3.1137285384491684
1986-11-01,3.384110358242635
1986-12-01,3.6621514782728823
1987-01-01,3.877727192883675
1987-02-01,4.0309232127384895
1987-03-01,4.105254768509773
1987-04-01,4.115992108525449
1987-05-01,4.118793208505234
1987-06-01,4.1447756812320184
1987-07-01,4.161701688299346
1987-08-01,4.139748937312867
1987-09-01,4.124598617735815
1987-10-01,4.100989584892328
1987-11-01,4.077415835949355
1987-12-01,4.076167636362896
1988-01-01,4.127874326326396
1988-02-01,4.201618816088685
1988-03-01,4.2894083050872425
1988-04-01,4.391046257264363
1988-05-01,4.513657891981647
1988-06-01,4.6140523766627
1988-07-01,4.684789895788463
1988-08-01,4.741865173451976
1988-09-01,4.755753054219439
1988-10-01,4.775980496292231
1988-11-01,4.810057877458991
1988-12-01,4.8290488907365186
1989-01-01,4.873637996506374
1989-02-01,4.909935637159731
1989-03-01,4.931143366458798
1989-04-01,4.8967925982896
1989-05-01,4.813473586843546
1989-06-01,4.772153483227453
1989-07-01,4.759174164212073
1989-08-01,4.835182095474465
1989-09-01,4.986801461083814
1989-10-01,5.136576164250156
1989-11-01,5.271558846983798
1989-12-01,5.393139010699397
1990-01-01,5.430570612953459
1990-02-01,5.434682455058721
1990-03-01,5.4065217359740485
1990-04-01,5.421179496436305
1990-05-01,5.47048669487048
1990-06-01,5.472342499569108
1990-07-01,5.441067635846962
1990-08-01,5.289518849944839
1990-09-01,5.058777830100579
1990-10-01,4.778072779884687
1990-11-01,4.504299057808695
1990-12-01,4.2507999051601715
1991-01-01,3.9965337227471007
1991-02-01,3.7887413142406694
1991-03-01,3.6462480050806945
1991-04-01,3.5039949780257964
1991-05-01,3.343164848737628
1991-06-01,3.2091911283795844
1991-07-01,3.1016302216173064
1991-08-01,3.0473372979433697
1991-09-01,3.01377316715595
1991-10-01,3.037188221482147
1991-11-01,3.0420514613906513
1991-12-01,3.0284162621803468
1992-01-01,3.083267191386916
1992-02-01,3.118914037122785
1992-03-01,3.110720512178838
1992-04-01,3.114498268748157
1992-05-01,3.1309640554564333
1992-06-01,3.1232544808990816
1992-07-01,3.0914777169119922
1992-08-01,3.0598146750639548
1992-09-01,3.034895952140552
1992-10-01,2.9972312557061973
1992-11-01,2.9662446588147398
1992-12-01,2.953558136271058
1993-01-01,2.8923944572897327
1993-02-01,2.831475292596981
1993-03-01,2.7831503678005642
1993-04-01,2.7110924227587483
1993-05-01,2.6333674186137475
1993-06-01,2.591480284681609
1993-07-01,2.591003817244049
1993-08-01,2.602056481842975
1993-09-01,2.624903144279289
1993-10-01,2.613048662938464
1993-11-01,2.6129520613812436
1993-12-01,2.6068256232995917
1994-01-01,2.6301450720876205
1994-02-01,2.6590836066402335
1994-03-01,2.6879416967455985
1994-04-01,2.7455922068214824
1994-05-01,2.8204215790837974
1994-06-01,2.8660437247751975
1994-07-01,2.865437069109223
1994-08-01,2.841845167296032
1994-09-01,2.8068479919801734
1994-10-01,2.8236201349198407
1994-11-01,2.8178129100448532
1994-12-01,2.806438996236444
1995-01-01,2.8000639973362342
1995-02-01,2.7823786980887735
1995-03-01,2.7812868356646345
1995-04-01,2.76826394366107
1995-05-01,2.7436383024069966
1995-06-01,2.719768120749928
1995-07-01,2.735436157219077
1995-08-01,2.7571235053271668
1995-09-01,2.7953821389332476
1995-10-01,2.8106720266454173
1995-11-01,2.864838519353055
1995-12-01,2.9301773040523833
1996-01-01,2.9565242934357356
1996-02-01,2.988478754175778
1996-03-01,2.9819423157054055
1996-04-01,2.9484888996662124
1996-05-01,2.8938272856151066
1996-06-01,2.8557677168452966
1996-07-01,2.7956410244224785
1996-08-01,2.741253510911354
1996-09-01,2.6705881061564605
1996-10-01,2.5949052893925137
1996-11-01,2.476012875738316
1996-12-01,2.3410062419598567
1997-01-01,2.218281019448515
1997-02-01,2.085521613940987
1997-03-01,1.9699615090383942
1997-04-01,1.881670161770147
1997-05-01,1.835957858183815
1997-06-01,1.7848710518168425
1997-07-01,1.7392830207832493
1997-08-01,1.6886053327242856
1997-09-01,1.6331226358825808
1997-10-01,1.5831642287974026
1997-11-01,1.5597882493487447
1997-12-01,1.5522471927747266
1998-01-01,1.5605349676552966
1998-02-01,1.5742705367613032
1998-03-01,1.6035425260749099
1998-04-01,1.6736440017943615
1998-05-01,1.7071445115597044
1998-06-01,1.730381871979265
1998-07-01,1.7689122763528526
1998-08-01,1.8228678148577984
1998-09-01,1.9178284907988365
1998-10-01,2.0074807487075526
1998-11-01,2.096977715658645
1998-12-01,2.18636608837418
1999-01-01,2.2753744376266325
1999-02-01,2.4100373469862952
1999-03-01,2.5793133374706687
1999-04-01,2.6452857525405578
1999-05-01,2.736992161936499
1999-06-01,2.8842634171566393
1999-07-01,3.0104851090927642
1999-08-01,3.1060475402845182
1999-09-01,3.174887149183553
1999-10-01,3.2488288368762936
1999-11-01,3.3175184832201716
1999-12-01,3.3760389424512507
2000-01-01,3.45881687727744
2000-02-01,3.4847905777868893
2000-03-01,3.4150393269608728
2000-04-01,3.431749864276213
2000-05-01,3.4672691433304497
2000-06-01,3.4270870278386245
2000-07-01,3.348806966258346
2000-08-01,3.2912049952717983
2000-09-01,3.2240222397753135
2000-10-01,3.1138689830703314
2000-11-01,2.9846385999290805
2000-12-01,2.831714838993149
2001-01-01,2.61587958619696
2001-02-01,2.4162202131273918
2001-03-01,2.29580647696663
2001-04-01,2.159991956695734
2001-05-01,1.9572091794639326
2001-06-01,1.7754721685929524
2001-07-01,1.6708789456751993
2001-08-01,1.5944547368419524
2001-09-01,1.4999595401437367
2001-10-01,1.4915803354485808
2001-11-01,1.5168269411197501
2001-12-01,1.585592431040326
2002-01-01,1.7068589429407617
2002-02-01,1.8604606898213758
2002-03-01,1.9891722160258334
2002-04-01,2.037951369547962
2002-05-01,2.1109576215184593
2002-06-01,2.1980300275367823
2002-07-01,2.251792543405642
2002-08-01,2.281413916729519
2002-09-01,2.3485922709218143
2002-10-01,2.3498364376937553
2002-11-01,2.313720495232184
2002-12-01,2.2722689464615424
2003-01-01,2.21633973533145
2003-02-01,2.1090219444299727
2003-03-01,2.002114269424449
2003-04-01,2.0071474683643107
2003-05-01,2.089974890901615
2003-06-01,2.186134080935313
2003-07-01,2.2595354911642773
2003-08-01,2.300878364860986
2003-09-01,2.3189912804686226
2003-10-01,2.414689019023504
2003-11-01,2.561189426847955
2003-12-01,2.6758619395682106
2004-01-01,2.762821135831961
2004-02-01,2.872359043955631
2004-03-01,2.9899510153136917
2004-04-01,3.092079832483139
2004-05-01,3.07132806170219
2004-06-01,3.0100044062384015
2004-07-01,3.0247663047113758
2004-08-01,3.1069973950624266
2004-09-01,3.2860707469193966
2004-10-01,3.382623821733341
2004-11-01,3.37699566772056
2004-12-01,3.390337159441421
2005-01-01,3.474966728876599
2005-02-01,3.5241316118870425
2005-03-01,3.541990190897188
2005-04-01,3.5449149027994005
2005-05-01,3.6585746360387197
2005-06-01,3.8076125568255654
2005-07-01,3.8890662450874793
2005-08-01,3.903864271838119
2005-09-01,3.6851723590837255
2005-10-01,3.431621925465194
2005-11-01,3.308137494492476
2005-12-01,3.235220071282512
2006-01-01,3.0760805473638126
2006-02-01,2.9775556639497425
2006-03-01,2.9288998344696324
2006-04-01,2.8478967036173475
2006-05-01,2.7249131645227003
2006-06-01,2.5889358214302747
2006-07-01,2.44000982741728
2006-08-01,2.2859553360278855
2006-09-01,2.3436784613743487
2006-10-01,2.5295912569239047
