,DATE,GS1,US,GS1_real_interest
0,1960-01-01,5.03,1.5148692200020533,3.515130779997947
1,1960-02-01,4.66,1.4840725876236116,3.1759274123763888
2,1960-03-01,4.02,1.45327595524517,2.56672404475483
3,1960-04-01,4.04,1.3943435570374942,2.6456564429625056
4,1960-05-01,4.21,1.3354111588298183,2.8745888411701817
5,1960-06-01,3.36,1.2485330436011872,2.1114669563988127
6,1960-07-01,3.2,1.2469904050722471,1.953009594927753
7,1960-08-01,2.95,1.217294613390154,1.732705386609846
8,1960-09-01,3.07,1.2445829939208546,1.8254170060791453
9,1960-10-01,3.04,1.1871327207467075,1.8528672792532925
10,1960-11-01,3.08,1.1296824475725606,1.9503175524274394
11,1960-12-01,2.86,1.0722321743984136,1.7877678256015863
12,1961-01-01,2.81,0.9859535325616708,1.8240464674383292
13,1961-02-01,2.93,0.9564674652040784,1.9735325347959218
14,1961-03-01,2.88,0.9269813978464856,1.9530186021535143
15,1961-04-01,2.88,0.9540924584008408,1.9259075415991591
16,1961-05-01,2.87,0.981203518955196,1.8887964810448041
17,1961-06-01,3.06,1.0367540359151086,2.023245964084891
18,1961-07-01,2.92,1.0074747566358295,1.9125252433641704
19,1961-08-01,3.06,1.034498017354743,2.025501982645257
20,1961-09-01,3.06,1.0329965158532413,2.027003484146759
21,1961-10-01,3.05,1.0881792153312424,1.9618207846687574
22,1961-11-01,3.07,1.143361914809243,1.9266380851907567
23,1961-12-01,3.18,1.198544614287245,1.9814553857127553
24,1962-01-01,3.28,1.2537273137652458,2.026272686234754
25,1962-02-01,3.28,1.2528911747208973,2.0271088252791025
26,1962-03-01,3.06,1.2797405284783208,1.7802594715216793
27,1962-04-01,2.99,1.250665162165744,1.7393348378342561
28,1962-05-01,3.03,1.2215897958531672,1.8084102041468326
29,1962-06-01,3.03,1.2201082485251382,1.8098917514748616
30,1962-07-01,3.29,1.2467859162919146,2.0432140837080857
31,1962-08-01,3.2,1.2453141972136523,1.9546858027863478
32,1962-09-01,3.06,1.2164399282078049,1.8435600717921952
33,1962-10-01,2.98,1.2149779399037113,1.7650220600962887
34,1962-11-01,3.0,1.213515951599618,1.786484048400382
35,1962-12-01,3.01,1.2394662439972788,1.770533756002721
36,1963-01-01,3.04,1.2654165363949397,1.7745834636050604
37,1963-02-01,3.01,1.3194214614983957,1.6905785385016041
38,1963-03-01,3.03,1.3179691077776474,1.7120308922223524
39,1963-04-01,3.11,1.344477268310344,1.7655227316896558
40,1963-05-01,3.12,1.3709854288430403,1.7490145711569598
41,1963-06-01,3.2,1.3695426147784888,1.8304573852215114
42,1963-07-01,3.48,1.3681092466859797,2.1118907533140203
43,1963-08-01,3.53,1.3395314703415704,2.190468529658429
44,1963-09-01,3.57,1.3658722612439078,2.204127738756092
45,1963-10-01,3.64,1.3373919696057217,2.3026080303942784
46,1963-11-01,3.74,1.3359679550238124,2.404032044976188
47,1963-12-01,3.81,1.2798127003823547,2.530187299617645
48,1964-01-01,3.79,1.223657445740897,2.566342554259103
49,1964-02-01,3.78,1.1675021910994394,2.61249780890056
50,1964-03-01,3.91,1.1660874387695186,2.7439125612304816
51,1964-04-01,3.91,1.1916414027287028,2.7183585972712976
52,1964-05-01,3.84,1.217195366687887,2.622804633312113
53,1964-06-01,3.83,1.2695532273948935,2.560446772605107
54,1964-07-01,3.72,1.294952014537346,2.425047985462654
55,1964-08-01,3.74,1.3748091123622908,2.3651908876377092
56,1964-09-01,3.84,1.4002078995047431,2.4397921004952567
57,1964-10-01,3.86,1.479810772515976,2.380189227484024
58,1964-11-01,3.91,1.505132672837876,2.4048673271621244
59,1964-12-01,4.02,1.584482934226972,2.435517065773028
60,1965-01-01,3.94,1.6638331956160684,2.276166804383932
61,1965-02-01,4.03,1.7966022604239684,2.2333977395760316
62,1965-03-01,4.06,1.9017199405284655,2.158280059471534
63,1965-04-01,4.04,2.005729862267656,2.034270137732344
64,1965-05-01,4.03,2.109739784006846,1.9202602159931543
65,1965-06-01,3.99,2.1594199255612225,1.8305800744387777
66,1965-07-01,3.98,2.262785277563068,1.7172147224369319
67,1965-08-01,4.07,2.3915793431680776,1.6784206568319227
68,1965-09-01,4.2,2.547687311203678,1.652312688796322
69,1965-10-01,4.3,2.702373020272826,1.5976269797271736
70,1965-11-01,4.37,2.8842834249750293,1.4857165750249708
71,1965-12-01,4.72,3.0122869727898984,1.7077130272101013
72,1966-01-01,4.88,3.140290520604768,1.739709479395232
73,1966-02-01,4.94,3.1609903069295537,1.7790096930704467
74,1966-03-01,4.97,3.1816426214817217,1.788357378518278
75,1966-04-01,4.9,3.1491874671102185,1.750812532889782
76,1966-05-01,4.93,3.142532106340365,1.7874678936596347
77,1966-06-01,4.97,3.1630431236868257,1.806956876313174
78,1966-07-01,5.17,3.156470582304158,2.013529417695842
79,1966-08-01,5.54,3.0702597924875152,2.469740207512485
80,1966-09-01,5.82,3.0095332024669985,2.8104667975330018
81,1966-10-01,5.58,2.896710034405224,2.683289965594776
82,1966-11-01,5.54,2.809216146991878,2.730783853008122
