DATE,US
1960-01-01,1.2487248096929615
1960-02-01,1.2360709760292845
1960-03-01,1.2288108856234283
1960-04-01,1.2270439697286253
1960-05-01,1.2252770538338218
1960-06-01,1.2288982340429633
1960-07-01,1.2328624678446636
1960-08-01,1.242289482132482
1960-09-01,1.2520199197461104
1960-10-01,1.261498523620672
1960-11-01,1.265532188368622
1960-12-01,1.2749077334584527
1961-01-01,1.2785176048157645
1961-02-01,1.298576910589356
1961-03-01,1.3184996826800877
1961-04-01,1.3493212307746574
1961-05-01,1.3801427788692273
1961-06-01,1.4110756104349704
1961-07-01,1.4360214423428277
1961-08-01,1.4771464280880666
1961-09-01,1.512640783202675
1961-10-01,1.5645465835258956
1961-11-01,1.6164523838491158
1961-12-01,1.6629186931367497
1962-01-01,1.7093850024243837
1962-02-01,1.7394814789344508
1962-03-01,1.7694319274071348
1962-04-01,1.788340232516533
1962-05-01,1.8124084963462614
1962-06-01,1.8363334279893138
1962-07-01,1.8658206074764934
1962-08-01,1.8842987831146212
1962-09-01,1.9079481205254265
1962-10-01,1.9262527473406916
1962-11-01,1.9496232302856427
1962-12-01,1.9780595693602798
1963-01-01,2.0166276206942886
1963-02-01,2.0658724546991425
1963-03-01,2.1093806261142904
1963-04-01,2.1582825421757272
1963-05-01,2.2069872949617055
1963-06-01,2.2549823098441375
1963-07-01,2.3078304090253123
1963-08-01,2.3604550744769317
1963-09-01,2.4184124679606414
1963-10-01,2.475612218077773
1963-11-01,2.5325778570272184
1963-12-01,2.5838283098554538
1964-01-01,2.6297298121449018
1964-02-01,2.6802902409948035
1964-03-01,2.7458958743488475
1964-04-01,2.816092214417471
1964-05-01,2.88602173053373
1964-06-01,2.9554936435384453
1964-07-01,3.0245135515119013
1964-08-01,3.103465001798857
1964-09-01,3.1767162368307647
1964-10-01,3.254911176923722
1964-11-01,3.3321362117758753
1964-12-01,3.4192413669789383
1965-01-01,3.5060563918871237
1965-02-01,3.5922960187244617
1965-03-01,3.667673954280436
1965-04-01,3.7417153390014324
1965-05-01,3.8154792234449286
1965-06-01,3.8834033082912773
1965-07-01,3.9562457054206868
1965-08-01,4.014077730994647
1965-09-01,4.081622069606146
1965-10-01,4.143301508930992
1965-11-01,4.209925440554923
1965-12-01,4.270712354790114
1966-01-01,4.326844494255586
1966-02-01,4.3674427848538775
1966-03-01,4.4033783072153065
1966-04-01,4.424871675842433
1966-05-01,4.4505033931674935
1966-06-01,4.485628887969356
1966-07-01,4.510810106188548
1966-08-01,4.529716305474494
1966-09-01,4.539726638721717
1966-10-01,4.5400869327216204
1966-11-01,4.531709254785583
1966-12-01,4.528496124142851
1967-01-01,4.525282993500119
1967-02-01,4.536887525663862
1967-03-01,4.548491887034578
1967-04-01,4.565400080946083
1967-05-01,4.572723893323327
1967-06-01,4.571583590458886
1967-07-01,4.5745697934450895
1967-08-01,4.5828146816144235
1967-09-01,4.590047697144795
1967-10-01,4.6065705628587335
1967-11-01,4.622102552068088
1967-12-01,4.628216091338951
1968-01-01,4.628253068390992
1968-02-01,4.626965138866495
1968-03-01,4.637798106221202
1968-04-01,4.656677248166628
1968-05-01,4.683563639887357
1968-06-01,4.713413633766128
1968-07-01,4.7340287281596805
1968-08-01,4.782417735503912
1968-09-01,4.830736647391707
1968-10-01,4.8816307133751105
1968-11-01,4.9403138662164645
1968-12-01,5.006749171902159
1969-01-01,5.089929911602664
1969-02-01,5.179012369106174
1969-03-01,5.264758973917679
1969-04-01,5.340900429006223
1969-05-01,5.427548828420789
1969-06-01,5.517285898154468
1969-07-01,5.618424052744277
1969-08-01,5.70426504102429
1969-09-01,5.80841332363865
1969-10-01,5.915008009124792
1969-11-01,6.0194785481250745
1969-12-01,6.121819868776254
1970-01-01,6.215533199216208
1970-02-01,6.300259235260773
1970-03-01,6.374157093758592
1970-04-01,6.4432858816373795
1970-05-01,6.500303623840307
1970-06-01,6.556584059511843
1970-07-01,6.61888969819048
1970-08-01,6.6721329414337225
1970-09-01,6.709545624457562
1970-10-01,6.73965183125039
1970-11-01,6.769295844195374
1970-12-01,6.792064584325088
1971-01-01,6.8158453342734635
1971-02-01,6.837273905702035
1971-03-01,6.859941645319415
1971-04-01,6.891496731694918
1971-05-01,6.921477772379531
1971-06-01,6.943660672312855
1971-07-01,6.960186991422199
1971-08-01,6.978414313516924
1971-09-01,7.001962194207661
1971-10-01,7.029585098796531
1971-11-01,7.056245615963377
1971-12-01,7.082887836072933
1972-01-01,7.1153794307369
1972-02-01,7.155466206816886
1972-03-01,7.204467399422729
1972-04-01,7.262144063377815
1972-05-01,7.320475017797836
1972-06-01,7.389755644084291
1972-07-01,7.454450971476641
1972-08-01,7.515768181287394
1972-09-01,7.5726173098277
1972-10-01,7.6220730642760435
1972-11-01,7.673017335416757
1972-12-01,7.727929083646287
1973-01-01,7.781061946998127
1973-02-01,7.823656747400723
1973-03-01,7.856410911868442
1973-04-01,7.880406895804186
1973-05-01,7.90434569539597
1973-06-01,7.927984115796389
1973-07-01,7.960934022548087
1973-08-01,7.96863710378058
1973-09-01,7.984349912072713
1973-10-01,8.003135795220299
1973-11-01,8.013645493353827
1973-12-01,8.018842676897131
1974-01-01,8.017014820872093
1974-02-01,8.014241582804736
1974-03-01,8.009275374874834
1974-04-01,8.015831873226137
1974-05-01,8.01827458716962
1974-06-01,8.018771954592285
1974-07-01,8.014620333971388
1974-08-01,8.030510947422975
1974-09-01,8.03440342197218
1974-10-01,8.034572280531892
1974-11-01,8.041419617774297
1974-12-01,8.057357643313503
1975-01-01,8.092468458387119
1975-02-01,8.141693972871163
1975-03-01,8.216783988976154
1975-04-01,8.292159736536748
1975-05-01,8.374502633694458
1975-06-01,8.457781865165746
1975-07-01,8.514716794301698
1975-08-01,8.585927273073152
1975-09-01,8.664183903958296
1975-10-01,8.753009874451417
1975-11-01,8.840836217237658
1975-12-01,8.933834235189142
1976-01-01,9.018956610424953
1976-02-01,9.104308774104112
1976-03-01,9.17788852616925
1976-04-01,9.243736037196344
1976-05-01,9.303351763553803
1976-06-01,9.363059271960982
1976-07-01,9.453246540218187
1976-08-01,9.538168170011911
1976-09-01,9.629132760976502
1976-10-01,9.707083236970593
1976-11-01,9.785552969670839
1976-12-01,9.853177952707178
1977-01-01,9.906094240366706
1977-02-01,9.934566233222712
1977-03-01,9.94022605756602
1977-04-01,9.93285386065134
1977-05-01,9.93211803998135
1977-06-01,9.935415047930443
1977-07-01,9.928930471980284
1977-08-01,9.916101780003533
1977-09-01,9.890196717215423
1977-10-01,9.869344352940706
1977-11-01,9.83376062399408
1977-12-01,9.785906562430872
1978-01-01,9.733805762716072
1978-02-01,9.68478229703578
1978-03-01,9.63550332618818
1978-04-01,9.592150674273885
1978-05-01,9.53521544783129
1978-06-01,9.454612289942512
1978-07-01,9.367222630421704
1978-08-01,9.279151236732874
1978-09-01,9.18838244276531
1978-10-01,9.087094982771129
1978-11-01,8.993428436992883
1978-12-01,8.90631627434318
1979-01-01,8.821520091657426
1979-02-01,8.73384694714357
1979-03-01,8.64561661275012
1979-04-01,8.54692930446649
1979-05-01,8.436615267623944
1979-06-01,8.325474183882127
1979-07-01,8.20782228540831
1979-08-01,8.082376207866426
1979-09-01,7.95053717632531
1979-10-01,7.820302021662302
1979-11-01,7.677637145575931
1979-12-01,7.52188253648865
1980-01-01,7.348943392426897
1980-02-01,7.171164735287486
1980-03-01,6.986952347159148
1980-04-01,6.802866744010668
1980-05-01,6.625636173163076
1980-06-01,6.448575166686704
1980-07-01,6.288934829976545
1980-08-01,6.130212389482602
1980-09-01,5.972584405313063
1980-10-01,5.813632946125197
1980-11-01,5.661392093401253
1980-12-01,5.516098313455872
1981-01-01,5.383782698824439
1981-02-01,5.245555422836205
1981-03-01,5.10836788470248
1981-04-01,4.96820573939534
1981-05-01,4.830058993036807
1981-06-01,4.700278984675865
1981-07-01,4.547199065228697
1981-08-01,4.3933616043184065
1981-09-01,4.240061687860595
1981-10-01,4.095568882667141
1981-11-01,3.9571315559149904
1981-12-01,3.826723753462713
1982-01-01,3.711207910411003
1982-02-01,3.6192412775027902
1982-03-01,3.55679839780854
1982-04-01,3.5112281051541463
1982-05-01,3.4641486857321477
1982-06-01,3.4072978586735734
1982-07-01,3.365396068745822
1982-08-01,3.3392948102822952
1982-09-01,3.327841450673416
1982-10-01,3.317739871889191
1982-11-01,3.3167377271060148
1982-12-01,3.3268144255431635
1983-01-01,3.3324011544633145
1983-02-01,3.339972491742079
1983-03-01,3.3454255468531775
1983-04-01,3.3455143714974347
1983-05-01,3.3512027376350124
1983-06-01,3.3743267063287163
1983-07-01,3.402135277371031
1983-08-01,3.4265040338278117
1983-09-01,3.44840156310199
1983-10-01,3.471709218858778
1983-11-01,3.48805579215014
1983-12-01,3.49852957779475
1984-01-01,3.506446474972004
1984-02-01,3.510297460612994
1984-03-01,3.513259520815735
1984-04-01,3.5225917085923446
1984-05-01,3.541388894590972
1984-06-01,3.557195327887398
1984-07-01,3.5701069737104363
1984-08-01,3.577014726831645
1984-09-01,3.578189033120566
1984-10-01,3.582107145397684
1984-11-01,3.59216790697639
1984-12-01,3.603811833306163
1985-01-01,3.6316357794848377
1985-02-01,3.660761327730452
1985-03-01,3.6862501580707403
1985-04-01,3.703348067634617
1985-05-01,3.713183298227418
1985-06-01,3.7283966595656652
1985-07-01,3.7495445993918484
1985-08-01,3.787356186582501
1985-09-01,3.837641900868215
1985-10-01,3.88865755122923
1985-11-01,3.934675069667541
1985-12-01,3.97313497639778
1986-01-01,4.00255556709122
1986-02-01,4.039210441305057
1986-03-01,4.083201537927733
1986-04-01,4.138155511525538
