DATE,US,Germany,Japan,UK,France
1960-02-01,1.73010380622838,1.74418604651164,3.7775445960206,-0.36264732547598,3.73906125696103
1960-03-01,1.73010380622838,1.74418604651164,3.13807531388157,-0.543970988213971,3.98724082934612
1960-04-01,1.72413793103448,2.32558139534886,3.22580645151521,0.730593607305936,4.14673046251994
1960-05-01,1.72413793103448,2.61627906976746,4.92662473685324,1.0999083409716,4.57463884430175
1960-06-01,1.71821305841925,1.72910662824207,3.74609781478495,1.46386093321133,4.24339471577262
1960-07-01,1.36986301369863,1.43678160919541,3.53430353426892,1.92660550458715,4.30965682362334
1960-08-01,1.36986301369863,1.1461318051576,2.76356192296209,1.0064043915828,4.76568705321685
1960-09-01,1.02389078498294,1.14942528735633,4.54545454431853,1.65593376264948,4.42687747035572
1960-10-01,1.36054421768708,1.1461318051576,3.66972476990731,2.01465201465201,3.68338557993729
1960-11-01,1.36054421768708,0.56818181818183,2.7663934424446,1.72727272727272,3.34890965732086
1960-12-01,1.36054421768708,0.56818181818183,3.58606557376018,1.81488203266787,3.58255451713396
1961-01-01,1.70648464163823,1.42045454545454,3.74493927073163,2.18380345768881,2.30591852421213
1961-02-01,1.36054421768708,2.00000000000001,4.14560161772249,2.18380345768881,2.14723926380368
1961-03-01,1.36054421768708,2.00000000000001,4.25963488765006,2.73473108477666,2.07055214723924
1961-04-01,1.01694915254237,1.42045454545454,4.63709677294549,2.71985494106978,1.83767228177642
1961-05-01,1.01694915254237,1.9830028328612,3.19680319748868,2.99184043517678,1.84190330007675
1961-06-01,0.675675675675676,2.54957507082152,3.61083249713563,3.33633904418394,1.68970814132105
1961-07-01,1.35135135135135,2.54957507082152,5.42168674590538,3.15031503150314,2.06579954093342
1961-08-01,1.01351351351351,2.54957507082152,5.37848605622155,4.80072463768114,1.7437452615618
1961-09-01,1.35135135135135,2.84090909090908,5.1383399220569,4.52488687782806,2.11960635881906
1961-10-01,0.671140939597316,2.54957507082152,6.88298918461139,3.85996409335725,3.09901738473169
1961-11-01,0.671140939597316,2.82485875706214,8.87337985971429,4.46827524575515,3.8432554634514
1961-12-01,0.671140939597316,2.82485875706214,9.00098911973046,4.36720142602494,3.98496240601504
1962-01-01,0.671140939597316,3.08123249299719,8.1951219515159,4.63045414069457,4.58302028549962
1962-02-01,1.00671140939597,3.36134453781513,7.28155339778392,4.73508459483525,4.61092457019135
1962-03-01,1.00671140939597,3.64145658263306,7.68482490258604,4.78039041703636,5.32852043010096
1962-04-01,1.34228187919463,3.921568627451,7.80346820873671,5.6774051191527,5.62087499808585
1962-05-01,1.34228187919463,3.05555555555556,8.90609874197136,5.70862676056337,6.18011931419661
1962-06-01,1.34228187919463,2.48618784530389,8.51887705747658,5.50392670157067,6.84896105734028
