,DATE,GS5,US,GS5_real_interest
0,1960-01-01,4.92,1.2487248096929615,3.671275190307038
1,1960-02-01,4.69,1.2360709760292845,3.4539290239707157
2,1960-03-01,4.31,1.2288108856234283,3.0811891143765715
3,1960-04-01,4.29,1.2270439697286253,3.0629560302713745
4,1960-05-01,4.49,1.2252770538338218,3.264722946166178
5,1960-06-01,4.12,1.2288982340429633,2.891101765957037
6,1960-07-01,3.79,1.2328624678446636,2.5571375321553367
7,1960-08-01,3.62,1.242289482132482,2.377710517867518
8,1960-09-01,3.61,1.2520199197461104,2.3579800802538893
9,1960-10-01,3.76,1.261498523620672,2.498501476379328
10,1960-11-01,3.81,1.265532188368622,2.544467811631378
11,1960-12-01,3.67,1.2749077334584529,2.395092266541547
12,1961-01-01,3.67,1.2785176048157645,2.3914823951842354
13,1961-02-01,3.66,1.298576910589356,2.361423089410644
14,1961-03-01,3.6,1.3184996826800877,2.2815003173199124
15,1961-04-01,3.57,1.3493212307746574,2.2206787692253425
16,1961-05-01,3.47,1.380142778869227,2.089857221130773
17,1961-06-01,3.81,1.4110756104349704,2.3989243895650296
18,1961-07-01,3.84,1.4360214423428277,2.4039785576571724
19,1961-08-01,3.96,1.4771464280880666,2.4828535719119333
20,1961-09-01,3.9,1.512640783202675,2.387359216797325
21,1961-10-01,3.8,1.5645465835258956,2.2354534164741042
22,1961-11-01,3.82,1.6164523838491158,2.203547616150884
23,1961-12-01,3.91,1.6629186931367497,2.2470813068632505
24,1962-01-01,3.94,1.7093850024243835,2.2306149975756164
25,1962-02-01,3.89,1.7394814789344508,2.1505185210655493
26,1962-03-01,3.68,1.7694319274071348,1.9105680725928653
27,1962-04-01,3.6,1.788340232516533,1.8116597674834671
28,1962-05-01,3.66,1.8124084963462612,1.847591503653739
29,1962-06-01,3.64,1.8363334279893135,1.8036665720106866
30,1962-07-01,3.8,1.8658206074764931,1.9341793925235067
31,1962-08-01,3.71,1.8842987831146207,1.8257012168853792
32,1962-09-01,3.7,1.9079481205254265,1.7920518794745737
33,1962-10-01,3.64,1.926252747340692,1.713747252659308
34,1962-11-01,3.6,1.9496232302856429,1.6503767697143572
35,1962-12-01,3.56,1.97805956936028,1.58194043063972
36,1963-01-01,3.58,2.0166276206942886,1.5633723793057115
37,1963-02-01,3.66,2.0658724546991425,1.5941275453008577
38,1963-03-01,3.68,2.1093806261142904,1.5706193738857097
39,1963-04-01,3.74,2.1582825421757272,1.581717457824273
40,1963-05-01,3.72,2.206987294961705,1.513012705038295
41,1963-06-01,3.81,2.254982309844137,1.555017690155863
42,1963-07-01,3.89,2.3078304090253123,1.5821695909746878
43,1963-08-01,3.89,2.360455074476932,1.529544925523068
44,1963-09-01,3.96,2.4184124679606414,1.5415875320393586
45,1963-10-01,3.97,2.475612218077773,1.494387781922227
46,1963-11-01,4.01,2.5325778570272184,1.4774221429727814
47,1963-12-01,4.04,2.5838283098554538,1.4561716901445463
48,1964-01-01,4.07,2.6297298121449018,1.4402701878550985
49,1964-02-01,4.03,2.6802902409948035,1.3497097590051967
50,1964-03-01,4.14,2.7458958743488475,1.3941041256511522
51,1964-04-01,4.15,2.816092214417471,1.3339077855825292
52,1964-05-01,4.05,2.88602173053373,1.16397826946627
53,1964-06-01,4.02,2.9554936435384453,1.0645063564615542
54,1964-07-01,4.03,3.0245135515119013,1.005486448488099
55,1964-08-01,4.05,3.103465001798857,0.9465349982011428
56,1964-09-01,4.08,3.1767162368307647,0.9032837631692354
57,1964-10-01,4.07,3.254911176923722,0.8150888230762785
58,1964-11-01,4.04,3.3321362117758757,0.7078637882241243
59,1964-12-01,4.09,3.4192413669789383,0.6707586330210615
60,1965-01-01,4.1,3.506056391887124,0.5939436081128755
61,1965-02-01,4.15,3.5922960187244617,0.5577039812755387
62,1965-03-01,4.15,3.667673954280436,0.48232604571956417
63,1965-04-01,4.15,3.741715339001432,0.4082846609985684
64,1965-05-01,4.15,3.8154792234449286,0.33452077655507173
65,1965-06-01,4.15,3.883403308291277,0.26659669170872347
66,1965-07-01,4.15,3.956245705420687,0.19375429457931315
67,1965-08-01,4.2,4.014077730994647,0.1859222690053528
68,1965-09-01,4.25,4.081622069606146,0.16837793039385396
69,1965-10-01,4.34,4.143301508930992,0.19669849106900816
70,1965-11-01,4.46,4.209925440554923,0.2500745594450766
71,1965-12-01,4.72,4.270712354790114,0.4492876452098855
72,1966-01-01,4.86,4.326844494255586,0.5331555057444142
73,1966-02-01,4.98,4.3674427848538775,0.6125572151461229
74,1966-03-01,4.92,4.4033783072153065,0.5166216927846934
75,1966-04-01,4.83,4.424871675842433,0.40512832415756694
76,1966-05-01,4.89,4.4505033931674935,0.43949660683250613
77,1966-06-01,4.97,4.485628887969356,0.48437111203064376
78,1966-07-01,5.17,4.510810106188548,0.659189893811452
79,1966-08-01,5.5,4.529716305474494,0.9702836945255058
80,1966-09-01,5.5,4.539726638721717,0.9602733612782828
81,1966-10-01,5.27,4.5400869327216204,0.7299130672783791
82,1966-11-01,5.36,4.531709254785583,0.8282907452144173
83,1966-12-01,5.0,4.528496124142851,0.4715038758571488
84,1967-01-01,4.7,4.525282993500119,0.17471700649988087
85,1967-02-01,4.74,4.536887525663862,0.20311247433613833
86,1967-03-01,4.54,4.548491887034578,-0.008491887034577594
87,1967-04-01,4.51,4.565400080946083,-0.055400080946083285
88,1967-05-01,4.75,4.572723893323327,0.17727610667667282
89,1967-06-01,5.01,4.571583590458886,0.43841640954111405
90,1967-07-01,5.23,4.5745697934450895,0.6554302065549109
91,1967-08-01,5.31,4.582814681614424,0.7271853183855752
92,1967-09-01,5.4,4.590047697144795,0.8099523028552049
93,1967-10-01,5.57,4.6065705628587335,0.9634294371412668
94,1967-11-01,5.78,4.622102552068088,1.1578974479319122
95,1967-12-01,5.75,4.628216091338951,1.1217839086610493
96,1968-01-01,5.54,4.628253068390992,0.9117469316090077
97,1968-02-01,5.59,4.626965138866495,0.9630348611335044
98,1968-03-01,5.76,4.637798106221202,1.122201893778798
99,1968-04-01,5.69,4.656677248166628,1.0333227518333725
100,1968-05-01,6.04,4.683563639887357,1.3564363601126432
101,1968-06-01,5.85,4.713413633766128,1.136586366233872
102,1968-07-01,5.6,4.7340287281596805,0.8659712718403192
103,1968-08-01,5.5,4.782417735503912,0.7175822644960883
104,1968-09-01,5.48,4.830736647391707,0.6492633526082932
105,1968-10-01,5.55,4.881630713375111,0.6683692866248885
106,1968-11-01,5.66,4.9403138662164645,0.7196861337835356
107,1968-12-01,6.12,5.006749171902159,1.1132508280978408
108,1969-01-01,6.25,5.089929911602664,1.1600700883973358
109,1969-02-01,6.34,5.179012369106174,1.1609876308938256
110,1969-03-01,6.41,5.264758973917679,1.1452410260823207
111,1969-04-01,6.3,5.340900429006223,0.9590995709937769
112,1969-05-01,6.54,5.427548828420789,1.1124511715792114
113,1969-06-01,6.75,5.517285898154468,1.2327141018455317
114,1969-07-01,7.01,5.618424052744277,1.3915759472557232
115,1969-08-01,7.03,5.70426504102429,1.3257349589757101
116,1969-09-01,7.57,5.80841332363865,1.7615866763613504
117,1969-10-01,7.51,5.915008009124792,1.594991990875208
118,1969-11-01,7.53,6.0194785481250745,1.5105214518749257
119,1969-12-01,7.96,6.121819868776254,1.838180131223746
120,1970-01-01,8.17,6.215533199216208,1.9544668007837922
121,1970-02-01,7.82,6.300259235260773,1.5197407647392271
122,1970-03-01,7.21,6.374157093758592,0.8358429062414077
123,1970-04-01,7.5,6.44328588163738,1.0567141183626196
124,1970-05-01,7.97,6.500303623840307,1.4696963761596926
125,1970-06-01,7.85,6.556584059511843,1.2934159404881562
126,1970-07-01,7.59,6.61888969819048,0.97111030180952
127,1970-08-01,7.57,6.6721329414337225,0.8978670585662778
128,1970-09-01,7.29,6.709545624457562,0.5804543755424376
129,1970-10-01,7.12,6.73965183125039,0.3803481687496104
130,1970-11-01,6.47,6.769295844195374,-0.2992958441953739
131,1970-12-01,5.95,6.792064584325088,-0.8420645843250876
132,1971-01-01,5.89,6.815845334273464,-0.9258453342734647
133,1971-02-01,5.56,6.837273905702035,-1.2772739057020353
134,1971-03-01,5.0,6.859941645319415,-1.8599416453194149
135,1971-04-01,5.65,6.891496731694918,-1.2414967316949177
136,1971-05-01,6.28,6.921477772379531,-0.6414777723795311
137,1971-06-01,6.53,6.943660672312855,-0.4136606723128544
138,1971-07-01,6.85,6.960186991422199,-0.11018699142219912
139,1971-08-01,6.55,6.978414313516924,-0.4284143135169245
140,1971-09-01,6.14,7.001962194207661,-0.8619621942076616
141,1971-10-01,5.93,7.029585098796531,-1.0995850987965312
142,1971-11-01,5.78,7.056245615963377,-1.2762456159633766
143,1971-12-01,5.69,7.082887836072933,-1.3928878360729327
144,1972-01-01,5.59,7.1153794307369,-1.5253794307369004
145,1972-02-01,5.69,7.155466206816886,-1.4654662068168856
146,1972-03-01,5.87,7.204467399422729,-1.3344673994227287
147,1972-04-01,6.17,7.262144063377815,-1.0921440633778152
148,1972-05-01,5.85,7.320475017797836,-1.4704750177978365
149,1972-06-01,5.91,7.389755644084291,-1.4797556440842907
150,1972-07-01,5.97,7.454450971476641,-1.4844509714766412
151,1972-08-01,6.02,7.515768181287394,-1.4957681812873949
152,1972-09-01,6.25,7.5726173098277,-1.3226173098276996
153,1972-10-01,6.18,7.6220730642760435,-1.4420730642760438
154,1972-11-01,6.12,7.673017335416757,-1.5530173354167571
155,1972-12-01,6.16,7.727929083646287,-1.5679290836462867
156,1973-01-01,6.34,7.781061946998127,-1.4410619469981274
157,1973-02-01,6.6,7.823656747400723,-1.2236567474007236
158,1973-03-01,6.8,7.856410911868442,-1.0564109118684426
159,1973-04-01,6.67,7.880406895804186,-1.2104068958041863
160,1973-05-01,6.8,7.90434569539597,-1.1043456953959705
161,1973-06-01,6.69,7.927984115796389,-1.2379841157963885
162,1973-07-01,7.33,7.960934022548087,-0.6309340225480868
163,1973-08-01,7.63,7.96863710378058,-0.33863710378058
164,1973-09-01,7.05,7.984349912072713,-0.9343499120727135
165,1973-10-01,6.77,8.003135795220299,-1.2331357952202993
166,1973-11-01,6.92,8.013645493353827,-1.0936454933538275
167,1973-12-01,6.8,8.018842676897131,-1.2188426768971317
168,1974-01-01,6.95,8.017014820872093,-1.0670148208720933
169,1974-02-01,6.82,8.014241582804736,-1.194241582804736
170,1974-03-01,7.31,8.009275374874834,-0.6992753748748344
171,1974-04-01,7.92,8.015831873226137,-0.09583187322613718
172,1974-05-01,8.18,8.01827458716962,0.16172541283038022
173,1974-06-01,8.1,8.018771954592285,0.08122804540771433
174,1974-07-01,8.38,8.014620333971388,0.3653796660286126
175,1974-08-01,8.63,8.030510947422975,0.5994890525770256
176,1974-09-01,8.37,8.03440342197218,0.33559657802782006
177,1974-10-01,7.97,8.034572280531892,-0.06457228053189201
178,1974-11-01,7.68,8.041419617774297,-0.3614196177742972
179,1974-12-01,7.31,8.057357643313503,-0.7473576433135038
180,1975-01-01,7.41,8.092468458387119,-0.6824684583871186
181,1975-02-01,7.11,8.141693972871163,-1.031693972871163
182,1975-03-01,7.3,8.216783988976154,-0.916783988976154
183,1975-04-01,7.99,8.292159736536748,-0.30215973653674766
184,1975-05-01,7.72,8.374502633694458,-0.6545026336944586
185,1975-06-01,7.51,8.457781865165746,-0.9477818651657461
186,1975-07-01,7.92,8.514716794301698,-0.5947167943016982
187,1975-08-01,8.33,8.585927273073152,-0.25592727307315144
188,1975-09-01,8.37,8.664183903958296,-0.29418390395829697
189,1975-10-01,7.97,8.753009874451417,-0.7830098744514169
190,1975-11-01,7.8,8.840836217237658,-1.0408362172376586
191,1975-12-01,7.76,8.933834235189142,-1.1738342351891422
192,1976-01-01,7.46,9.018956610424953,-1.5589566104249526
193,1976-02-01,7.45,9.104308774104112,-1.6543087741041118
194,1976-03-01,7.49,9.17788852616925,-1.6878885261692496
195,1976-04-01,7.25,9.243736037196344,-1.993736037196344
196,1976-05-01,7.59,9.303351763553804,-1.7133517635538045
197,1976-06-01,7.61,9.363059271960982,-1.7530592719609812
198,1976-07-01,7.49,9.453246540218188,-1.9632465402181882
199,1976-08-01,7.31,9.538168170011913,-2.228168170011913
200,1976-09-01,7.13,9.629132760976502,-2.4991327609765017
201,1976-10-01,6.75,9.707083236970591,-2.9570832369705915
202,1976-11-01,6.52,9.78555296967084,-3.265552969670841
203,1976-12-01,6.1,9.853177952707178,-3.753177952707178
204,1977-01-01,6.58,9.906094240366706,-3.3260942403667055
205,1977-02-01,6.83,9.934566233222712,-3.1045662332227124
206,1977-03-01,6.93,9.94022605756602,-3.0102260575660207
207,1977-04-01,6.79,9.93285386065134,-3.14285386065134
208,1977-05-01,6.94,9.93211803998135,-2.9921180399813503
209,1977-06-01,6.76,9.935415047930444,-3.1754150479304446
210,1977-07-01,6.84,9.928930471980284,-3.0889304719802837
211,1977-08-01,7.03,9.916101780003531,-2.886101780003531
212,1977-09-01,7.04,9.890196717215424,-2.8501967172154243
213,1977-10-01,7.32,9.869344352940706,-2.5493443529407056
214,1977-11-01,7.34,9.83376062399408,-2.4937606239940795
215,1977-12-01,7.48,9.785906562430872,-2.305906562430872
216,1978-01-01,7.77,9.733805762716072,-1.9638057627160723
217,1978-02-01,7.83,9.68478229703578,-1.8547822970357792
218,1978-03-01,7.86,9.63550332618818,-1.77550332618818
219,1978-04-01,7.98,9.592150674273883,-1.6121506742738827
220,1978-05-01,8.18,9.53521544783129,-1.3552154478312897
221,1978-06-01,8.36,9.454612289942512,-1.0946122899425124
222,1978-07-01,8.54,9.367222630421704,-0.827222630421705
223,1978-08-01,8.33,9.279151236732874,-0.9491512367328738
224,1978-09-01,8.43,9.18838244276531,-0.7583824427653099
225,1978-10-01,8.61,9.087094982771127,-0.4770949827711277
226,1978-11-01,8.84,8.993428436992883,-0.15342843699288267
227,1978-12-01,9.08,8.90631627434318,0.17368372565682044
228,1979-01-01,9.2,8.821520091657426,0.37847990834257317
229,1979-02-01,9.13,8.73384694714357,0.3961530528564303
230,1979-03-01,9.2,8.64561661275012,0.5543833872498798
231,1979-04-01,9.25,8.54692930446649,0.7030706955335102
232,1979-05-01,9.24,8.436615267623944,0.8033847323760561
233,1979-06-01,8.85,8.325474183882127,0.5245258161178725
234,1979-07-01,8.9,8.20782228540831,0.6921777145916899
235,1979-08-01,9.06,8.082376207866426,0.9776237921335742
236,1979-09-01,9.41,7.95053717632531,1.4594628236746905
237,1979-10-01,10.63,7.820302021662302,2.8096979783376987
238,1979-11-01,10.93,7.677637145575931,3.252362854424069
239,1979-12-01,10.42,7.52188253648865,2.8981174635113502
240,1980-01-01,10.74,7.348943392426897,3.391056607573103
241,1980-02-01,12.6,7.171164735287486,5.4288352647125135
242,1980-03-01,13.47,6.986952347159148,6.4830476528408525
243,1980-04-01,11.84,6.802866744010668,5.037133255989332
244,1980-05-01,9.95,6.625636173163076,3.3243638268369233
245,1980-06-01,9.21,6.448575166686704,2.7614248333132965
246,1980-07-01,9.53,6.288934829976545,3.2410651700234547
247,1980-08-01,10.84,6.130212389482602,4.709787610517398
248,1980-09-01,11.62,5.972584405313063,5.647415594686937
249,1980-10-01,11.86,5.813632946125197,6.0463670538748024
250,1980-11-01,12.83,5.661392093401253,7.168607906598747
251,1980-12-01,13.25,5.516098313455872,7.733901686544128
252,1981-01-01,12.77,5.383782698824439,7.38621730117556
253,1981-02-01,13.41,5.245555422836205,8.164444577163795
254,1981-03-01,13.41,5.10836788470248,8.30163211529752
255,1981-04-01,13.99,4.96820573939534,9.021794260604661
256,1981-05-01,14.63,4.830058993036807,9.799941006963195
257,1981-06-01,13.95,4.700278984675865,9.249721015324134
258,1981-07-01,14.79,4.547199065228697,10.242800934771303
259,1981-08-01,15.56,4.393361604318407,11.166638395681593
260,1981-09-01,15.93,4.240061687860595,11.689938312139404
261,1981-10-01,15.41,4.095568882667141,11.314431117332859
262,1981-11-01,13.38,3.9571315559149904,9.42286844408501
263,1981-12-01,13.6,3.826723753462713,9.773276246537286
264,1982-01-01,14.65,3.711207910411003,10.938792089588997
265,1982-02-01,14.54,3.6192412775027902,10.920758722497208
266,1982-03-01,13.98,3.55679839780854,10.42320160219146
267,1982-04-01,14.0,3.5112281051541463,10.488771894845854
268,1982-05-01,13.75,3.464148685732148,10.285851314267852
269,1982-06-01,14.43,3.4072978586735734,11.022702141326427
270,1982-07-01,14.07,3.365396068745822,10.704603931254178
271,1982-08-01,13.0,3.3392948102822952,9.660705189717705
272,1982-09-01,12.25,3.327841450673416,8.922158549326584
273,1982-10-01,10.8,3.317739871889191,7.482260128110809
274,1982-11-01,10.38,3.3167377271060148,7.0632622728939864
275,1982-12-01,10.22,3.3268144255431635,6.893185574456837
276,1983-01-01,10.03,3.3324011544633145,6.697598845536685
277,1983-02-01,10.26,3.339972491742079,6.92002750825792
278,1983-03-01,10.08,3.345425546853177,6.7345744531468235
279,1983-04-01,10.02,3.3455143714974347,6.674485628502564
280,1983-05-01,10.03,3.3512027376350124,6.678797262364987
281,1983-06-01,10.63,3.3743267063287163,7.255673293671284
282,1983-07-01,11.21,3.402135277371031,7.80786472262897
283,1983-08-01,11.63,3.426504033827812,8.203495966172188
284,1983-09-01,11.43,3.44840156310199,7.981598436898009
285,1983-10-01,11.28,3.471709218858778,7.808290781141221
286,1983-11-01,11.41,3.48805579215014,7.92194420784986
287,1983-12-01,11.54,3.49852957779475,8.041470422205249
288,1984-01-01,11.37,3.506446474972004,7.863553525027996
289,1984-02-01,11.54,3.510297460612994,8.029702539387005
290,1984-03-01,12.02,3.513259520815735,8.506740479184264
291,1984-04-01,12.37,3.5225917085923446,8.847408291407655
292,1984-05-01,13.17,3.541388894590972,9.628611105409028
293,1984-06-01,13.48,3.557195327887398,9.922804672112603
294,1984-07-01,13.27,3.5701069737104363,9.699893026289564
295,1984-08-01,12.68,3.577014726831645,9.102985273168354
296,1984-09-01,12.53,3.578189033120566,8.951810966879433
297,1984-10-01,12.06,3.582107145397684,8.477892854602317
298,1984-11-01,11.33,3.59216790697639,7.73783209302361
299,1984-12-01,11.07,3.603811833306163,7.466188166693837
300,1985-01-01,10.93,3.6316357794848377,7.298364220515162
301,1985-02-01,11.13,3.660761327730452,7.469238672269549
302,1985-03-01,11.52,3.68625015807074,7.83374984192926
303,1985-04-01,11.01,3.703348067634617,7.306651932365383
